,FIPS,pop,Property Values,Kirwan Opportunity Index,total_reviews,mean_rating,avg_sent,business_ct,med_income,crime_ct,log_reviews,log_business_ct,log_pop,log_crimes
212,544800,1775.0,,,2539,4.168,0.20567795494401964,25,39697,54.0,7.839525581704678,3.2188758248682006,7.4815557019095165,3.9889840465642745
213,554200,3160.0,103800.0,0.014279,4540,4.032,0.22618486758105388,25,41389,,8.420682291035394,3.2188758248682006,8.058327306580958,
215,534700,3056.0,61300.0,-0.753231,2081,4.021428571428571,0.19199621212536094,14,30982,55.0,7.640603826393634,2.6390573296152584,8.024862150286411,4.007333185232471
216,534400,1474.0,55800.0,-1.187281,409,4.5,0.3847532345593756,10,10625,35.0,6.013715156042802,2.302585092994046,7.295735072749282,3.5553480614894135
219,542900,3319.0,124200.0,0.069259,5815,3.965625,0.21022796765496984,32,66019,34.0,8.668196064952765,3.4657359027997265,8.107418811719974,3.5263605246161616
221,542400,2651.0,82800.0,-0.496307,2093,4.127777777777777,0.2608881811747412,18,21875,59.0,7.646353722445999,2.8903717578961645,7.8826922062890254,4.07753744390572
222,573900,6018.0,104400.0,-0.343975,5219,4.235555555555555,0.30577665544340865,45,57083,,8.560061091643414,3.8066624897703196,8.70251025718999,
223,532400,1569.0,33100.0,-0.954043,418,4.355555555555556,0.28922404275005725,9,41528,8.0,6.035481432524756,2.1972245773362196,7.358193752733032,2.0794415416798357
224,574600,5352.0,151600.0,0.53294,7100,4.278181818181818,0.39010743106436574,55,92596,,8.867850063029406,4.007333185232471,8.585225601808064,
225,575600,1861.0,142300.0,0.409049,1957,3.546666666666667,0.17292081548517407,15,56771,,7.579167967396076,2.70805020110221,7.528869256642251,
227,506300,1860.0,60600.0,-0.88751,4675,4.116666666666666,0.2582183995377859,36,24327,52.0,8.449984441722787,3.58351893845611,7.528331766707247,3.9512437185814275
229,581900,4614.0,106200.0,0.135927,5031,4.214285714285714,0.3462783977636356,49,78587,,8.523374050491318,3.8918202981106265,8.4368504387337,
232,572800,5929.0,88600.0,-0.307112,2192,4.2457142857142856,0.3285090754549917,35,46349,,7.692569648067906,3.5553480614894135,8.687610843707368,
234,573800,5715.0,88100.0,-0.316509,21230,4.26984126984127,0.31678554510686313,126,42778,,9.963170554697301,4.836281906951478,8.65084957622891,
235,500700,4109.0,85800.0,-0.629579,2390,4.2176470588235295,0.25693139035098495,17,44184,184.0,7.779048644925556,2.833213344056216,8.32093496888341,5.214935757608986
237,545100,1026.0,59800.0,-0.997775,2012,4.352941176470588,0.26040522934944954,17,16458,49.0,7.60688453121963,2.833213344056216,6.933423025730715,3.8918202981106265
238,541100,2921.0,84800.0,-1.230312,1064,3.988,0.18205500375257824,25,22990,56.0,6.96979066990159,3.2188758248682006,7.979681302387741,4.02535169073515
239,536500,2097.0,75300.0,-0.544473,3114,3.891666666666667,0.18594250922358194,24,32500,66.0,8.043663352393944,3.1780538303479458,7.64826303090192,4.189654742026425
240,530400,1283.0,63000.0,-0.856336,2816,3.685714285714286,0.16261680701873774,7,17013,41.0,7.943072717277933,1.9459101490553132,7.1569563646156364,3.713572066704308
241,536700,1055.0,61500.0,-0.67979,940,4.154545454545455,0.23283629700070166,11,34211,43.0,6.84587987526405,2.3978952727983707,6.961296045910167,3.7612001156935624
242,502700,2359.0,,,4925,4.1425,0.23819633933034665,40,28073,74.0,8.502079553606189,3.6888794541139363,7.765993079407675,4.30406509320417
244,580100,1920.0,104800.0,0.42228,6112,4.189130434782609,0.2686489228684001,46,53393,,8.718009330846357,3.828641396489095,7.560080465021827,
245,543300,3315.0,,,2101,4.174074074074074,0.27621016420980493,27,47619,30.0,7.650168700845001,3.295836866004329,8.106212902619962,3.4011973816621555
246,506400,842.0,48700.0,-0.998416,1227,4.019047619047619,0.23510938106028262,21,16454,48.0,7.112327444710911,3.044522437723423,6.7357800142423265,3.871201010907891
250,554500,2766.0,77800.0,-0.182889,5758,4.092499999999999,0.28982097960280007,40,37188,,8.65834547117212,3.6888794541139363,7.925157512224703,
252,571600,1929.0,111200.0,0.095405,13826,4.2444444444444445,0.3248827821293472,63,56250,,9.53430615650521,4.143134726391533,7.564757012905729,
254,552300,4656.0,64200.0,-1.029343,8987,4.3,0.2842053962087242,66,45739,,9.103534367658373,4.189654742026425,8.445911989411274,
255,577800,5173.0,90100.0,-0.126499,10564,4.131818181818182,0.2904700353050834,66,74810,,9.265207273417023,4.189654742026425,8.551208070003515,
260,576500,3901.0,135600.0,0.477838,4509,4.381395348837209,0.36054364245613557,43,119205,,8.413830678421084,3.7612001156935624,8.268988209506656,
261,539500,2921.0,93200.0,-0.703043,5477,3.9486486486486485,0.19953749898785408,37,87761,99.0,8.608312784783722,3.6109179126442243,7.979681302387741,4.59511985013459
